INNER,RING,SCARF SARONG PLAIN DIAMOND,SCARF SARONG PLAIN WITHOUT DIAMOND,SCARF SARONG PRINTED WITHOUT DIAMOND,SEJADAH,SHAWL PLAIN WITHOUT DIAMOND,SHAWL PRINTED DIAMOND,SQUARE PLAIN WITHOUT DIAMOND,SQUARE PRINTED DIAMOND,SQUARE PRINTED WITHOUT DIAMOND
28.0,13.0,13.0,20.0,6.0,6.0,0.0,8.0,26.0,6.0,192.0
32.0,38.0,43.0,56.0,16.0,4.0,8.0,13.0,84.0,38.0,531.0
29.0,18.0,24.0,62.0,14.0,11.0,4.0,9.0,128.0,27.0,465.0
23.0,42.0,27.0,48.0,30.0,7.0,8.0,7.0,79.0,28.0,502.0
73.0,28.0,34.0,47.0,87.0,10.0,5.0,2.0,112.0,33.0,719.0
38.0,22.0,26.0,36.0,119.0,8.0,10.0,10.0,94.0,39.0,777.0
32.0,39.0,27.0,43.0,132.0,19.0,11.0,10.0,146.0,38.0,929.0
36.0,31.0,36.0,30.0,77.0,13.0,5.0,11.0,81.0,24.0,524.0
25.0,27.0,9.0,17.0,53.0,25.0,7.0,7.0,58.0,18.0,328.0
